文献ID,大纲,综字数,述字数
10.5539/mas.v1n3p16,多模态货物状态感知与防拆防盗,37,27
10.1109/ths.2008.4534429,多模态货物状态感知与防拆防盗,34,25
10.1109/icmens.2004.1508930,多模态货物状态感知与防拆防盗,23,17
NO-DOI-526,多模态货物状态感知与防拆防盗,20,15
10.3991/ijoe.v14i01.8058,多模态货物状态感知与防拆防盗,21,16
10.1109/icievicivpr52578.2021.9564154,多模态货物状态感知与防拆防盗,22,17
10.1109/tim.2021.3117629,多模态货物状态感知与防拆防盗,21,16
10.34719/wwdt7647,多模态货物状态感知与防拆防盗,15,11
10.1007/s10257-022-00572-5,多模态货物状态感知与防拆防盗,18,14
10.3390/s23177448,多模态货物状态感知与防拆防盗,17,13
10.4067/s0718-18762013000200011,多模态货物状态感知与防拆防盗,11,9
10.1109/nems.2016.7758259,多模态货物状态感知与防拆防盗,11,9
10.3991/ijoe.v14i05.8645,多模态货物状态感知与防拆防盗,11,9
10.51867/aqssr.2.2.5,多模态货物状态感知与防拆防盗,12,10
10.3390/s19092078,弱网可靠传输与容迟网络,83,62
10.3390/s21113772,弱网可靠传输与容迟网络,95,70
10.1109/iccnc.2012.6167525,弱网可靠传输与容迟网络,50,37
10.1109/wimob.2019.8923146,弱网可靠传输与容迟网络,54,41
10.1109/ssci50451.2021.9660160,弱网可靠传输与容迟网络,53,40
10.1109/chinacom.2011.6158204,弱网可靠传输与容迟网络,40,30
10.1109/tnet.2010.2091968,弱网可靠传输与容迟网络,40,30
10.1109/metroind4.0iot66048.2025.11122097,弱网可靠传输与容迟网络,47,36
10.54254/2755-2721/2025.ld30345,弱网可靠传输与容迟网络,48,37
10.1109/wcnc.2009.4917536,弱网可靠传输与容迟网络,30,23
10.1109/lcomm.2013.022713.130123,弱网可靠传输与容迟网络,34,26
10.1533/9780857098467.2.139,弱网可靠传输与容迟网络,36,27
10.1109/ccwc.2017.7868422,弱网可靠传输与容迟网络,35,27
10.1109/icctec.2017.00299,弱网可靠传输与容迟网络,35,27
10.31202/ecjse.948125,弱网可靠传输与容迟网络,31,24
10.1109/pimrc.2016.7794849,弱网可靠传输与容迟网络,25,19
10.1109/wf-iot.2016.7845498,弱网可靠传输与容迟网络,24,19
10.1109/globecom38437.2019.9013987,弱网可靠传输与容迟网络,26,20
10.1109/lcn53696.2022.9843211,弱网可靠传输与容迟网络,25,19
10.3390/fi16060183,弱网可靠传输与容迟网络,25,20
10.1155/2023/6909801,港口场站数字孪生与状态同步,130,93
10.1016/j.procs.2024.09.361,港口场站数字孪生与状态同步,96,70
10.3390/pr11072223,港口场站数字孪生与状态同步,84,61
10.1007/s10696-023-09515-9,港口场站数字孪生与状态同步,74,54
10.1115/detc2022-89833,港口场站数字孪生与状态同步,56,41
10.1109/access.2023.3295495,港口场站数字孪生与状态同步,65,48
10.3389/fmars.2024.1455522,港口场站数字孪生与状态同步,58,43
10.3390/computers13060138,港口场站数字孪生与状态同步,61,45
10.3390/logistics9040153,港口场站数字孪生与状态同步,60,44
10.3390/asi4020029,港口场站数字孪生与状态同步,42,31
10.1155/2021/1936764,港口场站数字孪生与状态同步,44,33
10.1108/ijlm-01-2023-0030,港口场站数字孪生与状态同步,47,35
10.5220/0010676800003062,港口场站数字孪生与状态同步,34,26
10.1109/percomworkshops56833.2023.10150378,港口场站数字孪生与状态同步,35,26
10.1109/access.2024.3354838,港口场站数字孪生与状态同步,33,25
10.3384/9789180755726,港口场站数字孪生与状态同步,33,25
10.1080/23789689.2025.2526928,港口场站数字孪生与状态同步,38,29
10.67228/30715636/ijetmr-2024pi4k7x,港口场站数字孪生与状态同步,30,23
10.1007/s13437-024-00349-2,港口场站数字孪生与状态同步,32,24
10.1109/access.2020.2998358,港口场站数字孪生与状态同步,22,17
10.1007/s10845-020-01689-5,港口场站数字孪生与状态同步,23,18
10.3390/math11122678,港口场站数字孪生与状态同步,20,16
10.1109/jsyst.2023.3340422,港口场站数字孪生与状态同步,20,15
10.1093/iti/liad022,港口场站数字孪生与状态同步,20,16
10.1109/icdsca59871.2023.10392494,港口场站数字孪生与状态同步,15,12
10.4018/978-1-6684-9848-4.ch003,港口场站数字孪生与状态同步,17,14
10.1145/3802463.3802486,港口场站数字孪生与状态同步,15,12
,讨论,516,422
,展望,516,422
,结论,516,422
